order_id,order_date,product,category,price,quantity,region
88020724-646c-4bed-98c1-340e6b71fcff,2023-08-26,Basketball,Sports,144.54,2,Australia
a81b8638-3473-4831-8c8f-8141d50d7277,2023-08-20,Moisturizer,Beauty,839.21,6,South America
a1d9d8a5-2959-415d-b151-1b077fed7300,2024-03-21,Smartwatch,Electronics,607.68,10,South America
e8337b71-9a9b-479d-ae07-adbf5eedcb13,2024-06-05,Smartphone,Electronics,489.66,7,Asia
9056331e-7ec9-4718-b643-67bd7c641668,2023-08-06,Moisturizer,Beauty,489.33,2,Australia
0bbeff22-aa10-4830-a027-7b3f7e819498,2024-08-06,Perfume,Beauty,406.49,9,South America
9ef46248-8e56-4901-b713-cf3e1e4f814f,2023-06-19,Football,Sports,832.6,3,Europe
27aceda8-c1d9-40d4-b4d4-2e0d4f220514,2023-06-24,Running Shoes,Sports,69.56,6,Australia
5cf3de13-8a40-441f-9912-5c488198b769,2023-02-05,Running Shoes,Sports,876.68,2,North America
39c18fde-7370-43df-9946-4f8f324ff11c,2023-10-06,Tennis Racket,Sports,323.12,2,North America
0c192119-3f20-462b-a59a-010683eeafff,2024-01-27,T-Shirt,Clothing,101.62,8,North America
20258c0b-c34f-4979-83e6-7b29303d8d5f,2023-10-15,Jeans,Clothing,482.42,3,North America
310a5bb6-96e0-468b-bee9-3111488d8071,2023-12-30,Basketball,Sports,969.53,9,Australia
c143e003-9e01-40a0-a74e-d9c9497ddc88,2023-12-23,Jacket,Clothing,991.35,6,Asia
3e744e9a-164b-4786-adb8-78275a8005ba,2024-07-15,Tennis Racket,Sports,636.83,4,North America
d9b0435c-e04c-463a-a3cc-2e8dfc725abd,2023-05-04,Basketball,Sports,537.95,2,North America
d40c724e-9627-4dae-8577-4a502ec96717,2024-02-25,Laptop,Electronics,801.09,9,South America
9755ad75-6d51-462b-b015-b6b4c427ea89,2023-07-06,Jeans,Clothing,287.54,9,South America
8d533e7d-ba36-4545-9766-3dafe5b0ac59,2023-11-11,Vacuum Cleaner,Home Appliances,265.01,1,Asia
20267f6b-63d4-40f0-9cc8-509570a4bbab,2023-02-19,Jeans,Clothing,443.48,5,Asia
3a33be93-8df3-431f-bf89-14b7cf30cecb,2024-04-15,Moisturizer,Beauty,285.16,5,Europe
585700e2-5df9-4e77-8ca0-83021bbca264,2023-06-25,Air Conditioner,Home Appliances,904.03,2,Europe
56c0e019-a3d1-4efa-b273-f57daffacd72,2024-10-10,Smartphone,Electronics,821.14,7,Europe
f065d14b-07cd-4a90-a354-09e45b846adc,2024-06-26,Laptop,Electronics,841.56,9,South America
fae5ca22-f9e4-444b-a4fe-3077faec9aeb,2023-04-28,Headphones,Electronics,491.34,10,Asia
f6172337-7a9d-46f5-bf24-632fdad379d6,2023-10-22,Shampoo,Beauty,157.27,8,Asia
9b000ce8-4f5c-4b19-85e4-deecbb052d90,2024-10-24,Lipstick,Beauty,807.22,7,Europe
f1a86ad2-1616-4196-815b-3048b1c1e689,2025-01-02,Moisturizer,Beauty,823.1,6,Australia
cbe26f10-1bd4-4c51-94cd-898c33c05b4a,2024-06-22,Air Conditioner,Home Appliances,668.03,6,Asia
